83;Esfolar;"Você usa seu corpo como passagem para o Sangue, projetando agulhas e lâminas rubras praticamente imperceptíveis que se projetam contra o alvo. O ser sofre 3d4+3 pontos de dano de corte e fica sangrando. Se passar no teste de resistência, sofre apenas metade do dano e evita a condição.
*Discente (+2 PE):* muda o alcance para médio, o dano para 5d4+5 e o alvo para explosão com 6m de raio. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o alcance para longo, o dano para 10d4+10 e o alvo para explosão com 6m de raio. Passar no teste de resistência não evita a condição. Requer 3º círculo.";Sangue;1;1/3/6;Padrão;Curto/Médio/Longo;;1 ser/explosão com 6m de raio/explosão com 6m de raio;Instantânea;;Reflexos parcial;3d4+3/5d4+5/10d4+10;TRUE;TRUE;;;2º círculo;3º círculo
84;Sede de Adrenalina;"Ninguém se surpreende com os feitos impossíveis de um cultista de Sangue. Trocar racionalidade por um físico sobrenatural é entorpecente e viciante, e permite viver experiências que inundam a mente de adrenalina. Quando você falha em um teste de Acrobacia ou Atletismo, pode conjurar esse ritual para repetir esse teste, usando Presença no lugar do atributo base daquela perícia. Alternativamente, quando sofre dano de impacto, você pode usar esse ritual para reduzir esse dano em 20. Em qualquer caso, você só pode usar este ritual uma vez por rodada. Quando conjura esse ritual você entra em um transe de Sangue momentâneo enquanto seu corpo extrapola seus limites, suas veias pulsando, os olhos arregalados, a língua para fora, saindo completamente do seu estado racional. Se usá-lo para reduzir dano, mesmo que reduza o dano a 0, logo após o impacto o Sangue retorce seus ossos e tendões, fazendo com que você passe 1 rodada atordoado enquanto se contorce em ângulos impossíveis.
*Discente (+3 PE):* muda a redução de dano de impacto para 40.
*Verdadeiro (+7 PE):* muda a redução de dano de impacto para 70. Requer 4º círculo e afinidade.";Sangue;2;3/6/10;Reação;Pessoal;;você;Instantânea;;;;TRUE;TRUE;;;;4º círculo e afinidade
85;Odor da Caçada;"Qualquer um com um livro de biologia sabe que emoções são feitas de hormônios e feromônios. Para a natureza, ferramentas importantíssimas, mas para a entidade de Sangue, pontos fracos que ela pode explorar para devorar as frágeis espécies da Realidade. Sendo um ocultista com alguma experiência, você também é capaz de se aproveitar dessa fragilidade. Enquanto estiver sob efeito desse ritual seu nariz enruga, suas pupilas dilatam e os odores ao seu redor se intensificam. Você recebe faro (OPRPG, p. 179). Além disso, essa nova camada de percepção inunda seu corpo com capacidades que você desconhecia. Em uma cena de perseguição (p. 90) você recebe +5 nos testes de Atletismo e não perde PV pela ação de esforço extra, desde que o caçador que está o perseguindo, ou a presa que você está caçando, emita odores. Todo esse consumo do seu corpo tem um preço. Na próxima cena, você está sob efeito de fome e sede (OPRPG, p. 292) como se tivesse falhado no teste de Fortitude do primeiro dia e precisa suprir essa necessidade ou continuará sofrendo com os efeitos como descrito na regra.
*Discente (+4 PE):* muda o alcance para toque e o alvo para 1 ser.
*Verdadeiro (+9 PE):* muda o alcance para curto e o alvo para até 5 seres. Requer afinidade.";Sangue;3;6/10/15;Padrão;Pessoal/Toque/Curto;;você/1 ser/até 5 seres;Cena;;;;TRUE;TRUE;;;;afinidade
86;Martírio de Sangue;"Você faz o sacrifício supremo e se entrega ao Sangue, sendo devorado em uma monstruosidade bestial por completo. Você fica mais forte, rápido e resistente, em troca de uma mente nublada pela raiva e uma aparência animalesca, sentindo os músculos rasgando, os ossos ficando protuberantes e a sua pele endurecendo em uma estrutura de couro rubro. Você recebe faro, visão no escuro, cura acelerada 10, +10 em testes de ataque e rolagens de dano corpo a corpo e na Defesa, 30 PV temporários e seus ataques desarmados causam 1 dado de dano adicional e são considerados letais (sendo de corte, impacto ou perfuração à sua escolha no momento em que atacar). Após invocar o ritual, você não pode fazer mais fazer ações que demandem foco e concentração (como conjurar um ritual). Além disso, devido a sua aparência e estado violento, você sofre –3O em testes de perícias para interação social, como Diplomacia e Enganação. Diferente de outros rituais, este não possui fim. A cada rodada, você sente um pedaço da sua mente sendo devorado. Todas as suas memórias, pensamentos e existência sendo mastigados e consumidos pela intensidade do Sangue. As palavras fazem cada vez menos sentido, assim como falar e compreender os outros se torna cada vez mais impossível no meio da tormenta dos sentimentos. Suas emoções se convertem em um oceano de Sangue, tudo é tão intenso, todo toque é dor extrema, todo ataque é euforia, todo movimento é adrenalina… e finalmente, quando a cena em que conjurou o ritual acaba, o mínimo controle que você tinha de suas ações também se vai e você se torna, permanentemente, uma criatura de Sangue, sacrificando seu personagem para o Outro Lado e o perdendo para sempre.
*Discente (+5 PE):* muda os bônus para +20 e os PV temporários para 50. Requer afinidade.";Sangue;4;10/15;Padrão;Pessoal;;você;veja texto;;;;TRUE;FALSE;;;afinidade;
87;Apagar as Luzes;"Poéticos são os textos que associam a Morte com a luz no fim do túnel. Entretanto, qualquer ocultista sabe que isso é um engodo. A Morte é fria, úmida, nojenta e escura. Estar acostumado à escuridão faz parte daqueles que escolhem abrir seus corpos para a Morte. Ao conjurar esse ritual, qualquer fonte de luz em alcance curto de você, natural ou paranormal, se apaga (criando um ambiente de penumbra ou escuridão, o que fizer mais sentido com a cena). A forma como isso acontece se assemelha às obras mais dramáticas de terror (lâmpadas estouram, janelas se fecham, nuvens densas bloqueiam a luz do sol, velas se dissipam, etc.). O efeito é instantâneo, mas no caso de eventos temporários, como nuvens cobrindo o sol em uma direção específica ou janelas que podem ser abertas, eles permanecem mantendo a escuridão, pelo menos, até o fim da cena (o vento não move a nuvem e a janela fica sobrenaturalmente impossível de ser aberta). Você, por outro lado, recebe visão no escuro, até o fim da cena.
*Discente (+2 PE):* muda o alcance para determinar fontes de luz afetadas para longo. Requer 2º círculo.
*Verdadeiro (+5 PE):* como Discente, e além de você, até cinco outros seres dentro desse alcance recebem visão no escuro. Requer 3º círculo.";Morte;1;1/3/6;Padrão;Pessoal/Longo/Longo;;você;;Instantânea;;;;TRUE;TRUE;;;2º círculo;3º círculo
88;Língua Morta;"Todos sabem que mortos não falam, e ocultistas experientes sabem: “Nada que é levado pela Morte pode voltar ao que era antes”. Contudo, isso não significa que cadáveres não tenham mais nada a dizer. E você sabe como conversar com a Morte. Ao preparar um cadáver humano e conjurar esse ritual, o Lodo da Morte se espalha por dentro do cadáver, reanimando-o forçadamente. Não se engane, ele ainda está morto, mas o seu passado está te observando agora, permitindo que ele responda algumas perguntas sobre sua vida de maneiras diferentes. O cadáver é capaz de responder uma pergunta por rodada em que você mantém o ritual sustentado, até o limite de três rodadas. Se finalizar o ritual antes da terceira pergunta, o cadáver se desmancha em Lodo preto. Porém, ao final da terceira resposta, o cadáver é consumido pela Morte e se transforma em um esqueleto de Lodo (OPRPG, p. 217). Não há necessidade de testes para tirar as respostas do cadáver, mas a clareza e objetividade delas ficam a critério do mestre e dependem do estado do cadáver. Por exemplo, se está investigando um assassinato, falar o nome de um suspeito em voz alta pode resultar em uma série de espasmos violentos, simulando os movimentos das facadas que o corpo tomou para morrer. Ou se decidir mostrar algumas fotos de diferentes suspeitos, o crânio pode se virar lentamente para encarar seu assassino uma última vez. Se o corpo não estiver em um estado de decomposição avançada, e ainda conter os órgãos responsáveis pela fala, é possível até tentar discernir uma palavra invertida ou outra que será vomitada em resposta junto com o Lodo. Se necessário, os jogadores podem listar as perguntas que pretendem fazer e dar algum tempo para o mestre bolar as respostas, antes do jogo continuar.
*Discente (+3 PE):* aumenta o limite para quatro rodadas. Ao final da quarta rodada, ao invés de um esqueleto de Lodo, o cadáver se transforma em um enraizado (OPRPG, p. 214).
*Verdadeiro (+7 PE):* aumenta o limite para cinco rodadas. Requer 4º círculo e afinidade. Ao final da quinta rodada, ao invés de um enraizado, o cadáver se transforma em uma marionete (OPRPG, p. 218).";Morte;2;3/6/10;Padrão;Toque;;1 cadáver;Sustentada;;;;TRUE;TRUE;;;;4º círculo e afinidade
89;Fedor Pútrido;"Por mais assustadora que seja a morte, você sabe que a melhor maneira de lidar com ela é aceitando o que ela tem a oferecer. Ao conjurar este ritual, você cobre o seu corpo com o fedor da Morte, parando suas funções biológicas e passando a cheirar como um cadáver apodrecendo. Seu coração para de bater, seus pulmões deixam de inflar, seu sangue cessa de fluir. Tudo fica, temporariamente, sendo sustentado pelo Lodo da Morte. Nesse estado, qualquer animal se afasta de você instintivamente, como se você fosse uma fonte de doenças pútridas, e você sofre –3O em Diplomacia. Além disso, você recebe +5 em Furtividade, por se parecer com um corpo qualquer no cenário, e +10 em testes de Enganação para se fingir de morto. Em uma cena de furtividade (p. 92), enquanto você ficar parado, sua visibilidade é considerada 1 ponto menor. Na prática, você não está morto nem é um morto-vivo, não está imune a doenças ou outros efeitos biológicos, ainda precisa dormir etc. Ter seu corpo sustentado pelo Lodo é terrível; para cada rodada em que mantêm esse ritual, você sofre 1d4 pontos de dano de Morte que ignora resistências.
*Discente (+4 PE):* muda o alcance para toque e o alvo para 1 ser voluntário.
*Verdadeiro (+9 PE):* muda o alcance para curto e o alvo para até 5 seres voluntários. Requer afinidade.";Morte;3;6/10/15;Padrão;Pessoal/Toque/Curto;;você/1 ser voluntário/até 5 seres voluntários;Sustentada;;;;TRUE;TRUE;;;;afinidade
90;Singularidade Temporal;"Você distorce a Realidade em espirais capazes de alterar as condições temporais de um objeto para avançá-lo no tempo, fazendo com que ele atinja o estado de decomposição mais avançado que um objeto do seu tipo poderia alcançar. A definição exata do estado que o alvo pode alcançar depende da natureza do objeto e está sujeita a interpretação do mestre. Uma maçã, por exemplo, ficaria completamente apodrecida e decomposta, enquanto um diamante poderia não sofrer nenhum efeito. O pneu de um veículo poderia ressecar e rasgar (potencialmente fazendo seu motorista perder o controle). Em termos de regras, dependendo da natureza do objeto ele pode ficar danificado (o que impõe penalidades em seu uso, como –5 em testes em que ele seja empregado) ou pode ser completamente destruido. Um objeto em uso por alguém ainda pode ser afetado, mas o ser pode fazer um teste de Fortitude para proteger o objeto do ritual.
*Discente (+5 PE):* muda o tamanho do objeto afetado para Grande.
*Verdadeiro (+10 PE):* muda o tamanho do objeto afetado para Enorme.";Morte;4;10/15/20;Padrão;Curto;;1 objeto não paranormal Médio/Grande/Enorme;Instantânea;;veja texto;;TRUE;TRUE;;;;
91;Desfazer Sinapses;"Enganam-se aqueles que pensam que o Conhecimento Paranormal é incapaz de causar dano físico; inexistir é um dos processos mais terríveis que podem acontecer com alguém. A entidade do Conhecimento inexiste bilhões de neurônios de dentro do cérebro do alvo, causando a angústia inexplicável do vazio. O alvo sofre 2d6+2 pontos de dano de Conhecimento e fica frustrado por uma rodada. Se passar no teste de resistência, sofre apenas metade do dano e evita a condição. O alvo precisa ter um cérebro; o efeito se reflete como uma dor de cabeça severa que faz sangrar levemente pelos olhos, narinas, orelhas e boca.
*Discente (+2 PE):* muda o alcance para longo, o dano para 3d6+3 e o alvo para até 5 seres a sua escolha. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o alcance para extremo, o dano para 8d6+8 e a condição para esmorecido. Se passar no teste de resistência, em vez de esmorecido, fica frustrado. Requer 3º círculo.";Conhecimento;1;1/3/6;Padrão;Curto/Longo/Extremo;;1 ser/até 5 seres a sua escolha/até 5 seres a sua escolha;Instantânea;;Vontade parcial;2d6+2/3d6+3/8d6+8;TRUE;TRUE;;;2º círculo;3º círculo
92;Aurora da Verdade;"Diante do Conhecimento Paranormal, ninguém pode manter seus segredos por muito tempo. Uma luz espectral como ondas de uma aurora boreal dourada surge na área do ritual, e qualquer ser dentro dessa área é obrigado a falar apenas a verdade, inclusive o conjurador. Se passar no teste de resistência, o ser pode mentir (o que ainda pode ser percebido com testes de Intuição). Além disso, qualquer ser que tente se esconder, obter camuflagem ou ficar invisível dentro da luz é imediatamente revelado por minúsculos sigilos que brilham ao seu redor.
*Discente (+3 PE):* muda o alcance para médio e a área para esfera com 9m de raio e o conjurador não é mais afetado pelo efeito.
*Verdadeiro (+7 PE):* como discente, mas muda o alcance para longo e a duração para cena. Além disso, independentemente da distância, você pode ouvir tudo que é falado na área, como se estivesse nela. Requer 4º círculo e afinidade.";Conhecimento;2;3/6/10;Padrão;Curto/Médio/Longo;esfera com 3m de raio/esfera com 9m de raio/esfera com 9m de raio;-;Sustentada/Sustentada/Cena;;Vontade parcial;;TRUE;TRUE;;;;4º círculo e afinidade
