Codigo_Ritual;Nome_Ritual;Descricao_Ritual;Elemento_Ritual;Circulo_Ritual;PE_Ritual;Execucao_Ritual;Alcance_Ritual;Area_Ritual;Alvo_Ritual;Duracao_Ritual;Efeito_Ritual;Resistencia_Ritual;Dados_Ritual;Tem Discente?;Tem Verdadeiro?;Imagem;Requisito_Discente;Requisito_Verdadeiro
31;Dissipar Ritual;"Você dissipa rituais ativos, como se a duração deles tivesse acabado. Efeitos de rituais instantâneos não podem ser dissipados (não se pode dissipar uma área de Paradoxo depois que já causou dano...). Faça um teste de Ocultismo; você anula quaisquer rituais ativos no alvo ou na área com DT igual ou menor que o resultado do teste. Você pode conjurar esse ritual em um item amaldiçoado para que se torne um item mundano (perdendo seus poderes) por um dia. Se o item estiver em posse de alguém, seu usuário pode fazer um teste de Vontade para negar o efeito";Medo;3;6;Padrão;Médio;esfera com 3m de raio;1 ser ou objeto;Instantânea;;Vontade anula;;FALSE;FALSE;;;
32;Dissonância Acústica;"Você manipula a vibração do ar, criando uma área de dissonância sonora. Enquanto estiverem na área, todos os seres ficam surdos. Essa dissonância impede que seres dentro da área conjurem rituais.
*Discente (+1 PE):* muda a área para “alvo: 1 objeto”. Em vez do normal, o alvo emana uma área de silêncio com 3m de raio. Se conjurar o ritual num objeto de um ser involuntário, ele tem direito a um teste de Vontade para anulá-lo.
*Verdadeiro (+3 PE):* muda a duração para cena. Em vez do normal, nenhum som pode deixar a área, mas seres dentro da área podem falar, ouvir e conjurar rituais normalmente.";Energia;2;3/4/6;Padrão;Médio;esfera com 6m de raio/esfera com 3m de raio/;/1 objeto/;Sustentada//Cena;;;;TRUE;TRUE;;;3º círculo
33;Distorção Temporal;"Este ritual distorce o fluxo de tempo em relação a você, criando um pequeno bolsão temporal que dura 3 rodadas. Durante este tempo, você pode agir, mas não pode se deslocar do lugar nem interagir com seres e objetos. Da mesma forma, efeitos contínuos não o afetam, e quaisquer efeitos que você iniciar não afetarão a área ao seu redor. Efeitos de área com duração maior que este efeito vão agir normalmente quando o bolsão temporal acabar.";Morte;4;10;Padrão;Pessoal;;veja texto;veja texto;;;;FALSE;FALSE;;;
34;Distorcer Aparência;"Você modifica sua aparência de modo a parecer outra pessoa. Isso inclui altura, peso, tom de pele, cor de cabelo, timbre de voz, impressão digital, córnea etc. Você recebe +10 em testes de Enganação para disfarce, mas não recebe habilidades da nova forma nem modifica suas demais estatísticas.
*Discente (+2 PE):* muda o alcance para “curto” e o alvo para “1 ser”. Um alvo involuntária pode anular o efeito com um teste de Vontade.
*Verdadeiro (+5 PE):* como em Discente, mas muda o alvo para “seres escolhidos”. Requer 3º círculo.";Sangue;1;1/3/6;Padrão;Pessoal/Curto/Curto;;você/1 ser/seres escolhidos;Cena;;Vontade desacredita;;TRUE;TRUE;;;3º círculo
35;Eco Espiral;"Você manifesta em suas mãos uma pequena cópia do alvo feita de cinzas. No início do próximo turno após conjurar este ritual, você precisa gastar uma ação padrão para se concentrar nele; caso contrário, ele se dissipa sem efeito. No início do segundo turno, você precisa gastar uma ação padrão para descarregá-lo. Se fizer isso, a cópia explode e o alvo sofre dano de Morte igual a quantidade de dano que sofreu na rodada em que você se concentrou (Fortitude reduz à metade). Se não fizer, o ritual se dissipa sem efeito.
*Discente (+3 PE):* muda o alvo para “até 5 seres”.
*Verdadeiro (+7 PE):* muda a duração para “até 3 rodadas”, permitindo que você se concentre nas duas primeiras e descarregue na terceira. Requer 4º círculo e afinidade.";Morte;2;3/6/10;Padrão;Curto;;1 ser/até 5 seres/;2 rodadas//até 3 rodadas;;Fortitude reduz à metade;;TRUE;TRUE;;;4º círculo e afinidade
36;Eletrocussão;"Você manifesta e dispara uma corrente elétrica contra o alvo, que sofre 3d6 pontos de dano de eletricidade e fica vulnerável por uma rodada. Se passar no teste de resistência, sofre apenas metade do dano e evita a condição. Se usado contra objetos eletrônicos, este ritual causa o dobro de dano e ignora resistência.
*Discente (+2 PE):* muda o alvo para “área: linha de 30m”. Você dispara um poderoso raio que causa 6d6 pontos de dano de Energia em todos os seres e objetos livres na área. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda a área para “alvos escolhidos”. Em vez do normal, você dispara vários relâmpagos, um para cada alvo escolhido, causando 8d6 pontos de dano de Energia em cada. Requer 3º círculo.";Energia;1;1/3/6;Padrão;Curto;-/linha de 30m/-;1 ser ou objeto/-/alvos escolhidos;Instantânea;;Fortitude parcial;3d6/6d6/8d6;TRUE;TRUE;;;2º círculo;3º círculo
37;Embaralhar;"Você cria três cópias ilusórias suas, como hologramas extremamente realistas. As cópias ficam ao seu redor e imitam suas ações, tornando difícil para um inimigo saber quem é o verdadeiro. Você recebe +6 na Defesa. Cada vez que um ataque contra você erra, uma das imagens desaparece e o bônus na Defesa diminui em 2. Um oponente deve ver as cópias para ser confundido. Se você estiver invisível, ou o atacante fechar os olhos, você não recebe o bônus (mas o atacante sofre as penalidades normais por não enxergar).
*Discente (+2 PE):* muda o número de cópias para 5 (e o bônus na Defesa para +10). Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o número de cópias para 8 (e o bônus na Defesa para +16). Além do normal, toda vez que uma cópia é destruída, emite um clarão de luz. O ser que destruiu a cópia fica ofuscada por uma rodada. Requer 3º círculo.";Energia;1;1/3/6;Padrão;Pessoal;;você;Cena;;;;TRUE;TRUE;;;2º círculo;3º círculo
38;Enfeitiçar;"Este ritual torna o alvo prestativo (veja a página 45). Ele não fica sob seu controle, mas percebe suas palavras e ações da maneira mais favorável possível. Você recebe um bônus de +10 em testes de Diplomacia com ele. Um alvo hostil ou que esteja envolvido em combate recebe +5 em seu teste de resistência. Se você ou seus aliados tomarem qualquer ação hostil contra o alvo, o efeito é dissipado e o alvo retorna à atitude que tinha antes (ou piorada, de acordo com o mestre).
*Discente (+2 PE):* em vez do normal, você sugere uma ação para o alvo e ele obedece. A sugestão deve ser feita de modo que pareça aceitável, a critério do mestre. Pedir que o alvo atire em seu companheiro, por exemplo, dissipa o efeito. Já sugerir a um guarda que descanse um pouco, de modo que você e seus aliados passem por ele, é aceitável. Quando o alvo executa a ação, o efeito termina. Você pode determinar uma condição específica para a sugestão: por exemplo, que o policial prenda a próxima pessoa de casaco verde que ele encontrar. Requer 2º círculo.
*Verdadeiro (+5 PE):* afeta todos os alvos dentro do alcance. Requer 3º círculo.";Conhecimento;1;1/3/6;Padrão;Curto;;1 pessoa//todos os alvos dentro do alcance;Cena;;Vontade anula;;TRUE;TRUE;;;2º círculo;3º círculo
39;Esconder dos Olhos;"Você fica invisível, incluindo seu equipamento, recebendo camuflagem total e +15 em testes de Furtividade. Como o normal, seres que não possam vê-lo ficam desprevenidos contra seus ataques. O efeito termina se você faz um ataque ou usa uma habilidade hostil. Ações contra objetos livres não dissipam Esconder dos Olhos (você pode tocar ou apanhar objetos que não estejam sendo segurados por outros seres). Causar dano indiretamente — por exemplo, prepar explosivos para detonar mais tarde — não é considerado um ataque. Objetos soltos voltam a ser visíveis e objetos apanhados por você ficam invisíveis. Uma luz transportada nunca fica invisível (mesmo que sua fonte seja). Qualquer parte de um item carregado que se estenda além de seu alcance corpo a corpo natural se torna visível.
*Discente (+3 PE):* muda a duração para “sustentada”. Em vez do normal, você gera uma esfera de invisibilidade. Você e todos os aliados a até 3m de você se tornam invisíveis, como no efeito normal do ritual (ainda ficam visíveis caso façam uma ação hostil). A esfera se move juntamente com você; qualquer coisa que saia da esfera fica visível. Requer 3º círculo.
*Verdadeiro (+7 PE):* muda a execução para “ação padrão”, o alcance para “toque”, o alvo para “1 ser” e a duração para “sustentada”. O efeito não é dissipado caso o alvo faça um ataque ou ação hostil. Requer 4º círculo e afinidade.";Conhecimento;2;3/6/10;Livre//Padrão;Pessoal//Toque;-/esfera de 3m/-;você/você e aliados a até 3m/1 ser;1 rodada/Sustentada/Sustentada;;;;TRUE;TRUE;;;3º círculo;4º círculo e afinidade
40;Espirais da Perdição;"Espirais surgem no corpo do alvo, tornando seus movimentos lentos. O alvo sofre -1d20 em testes de ataque.
*Discente (+2 PE):* muda a penalidade para -2d20. Requer 2º círculo.
*Verdadeiro (+8 PE):* muda a penalidade para -2d20 e o alvo para “seres escolhidos”. Requer 3º círculo.";Morte;1;1/3/9;Padrão;Curto;;1 ser//seres escolhidos;Cena;;;;TRUE;TRUE;;;2º círculo;3º círculo
41;Ferver Sangue;"O sangue do alvo aquece até entrar em ebulição. Quando o ritual é conjurado, e no início de cada turno do alvo, ele deve fazer um teste de Fortitude. Se falhar, sofre 4d8 pontos de dano de Sangue e fica fraco; se passar, sofre metade do dano e não fica fraco nesta rodada. Se o alvo passar nesse teste dois turnos seguidos o efeito termina.
*Verdadeiro (+4 PE):* muda o alvo para “seres escolhidos”. Requer 4º círculo e afinidade.";Sangue;3;6/10;Padrão;Curto;;1 ser/seres escolhidos;Sustentada;;Fortitude parcial;4d8;FALSE;TRUE;;;;4º círculo e afinidade
42;Fim Inevitável;"Você cria um vácuo em um espaço desocupado a sua escolha. No início de cada um de seus quatro turnos seguintes, todos os seres a até 90m do vácuo, incluindo você, devem fazer um teste de Fortitude. Em caso de falha, ficam caídas e são puxadas 30m na direção do vácuo. Objetos soltos também são puxados. Seres podem gastar uma ação de movimento para se segurar em algum objeto fixo, recebendo +5 em seus testes de resistência. Seres e objetos que iniciem seu turno tocando o vácuo temporal sofrem 100 pontos de dano de Morte por rodada.
*Discente (+5 PE):* muda a duração para “5 rodadas” e o efeito para que você não seja afetado. Requer afinidade.
*Verdadeiro (+10 PE):* muda a duração para “6 rodadas” e o efeito para que seres escolhidos dentro do alcance não sejam afetados. Requer afinidade.";Morte;4;10/15/20;Completa;Extremo;;;4 rodadas/5 rodadas/6 rodadas;buraco negro com 1,5m de diâmetro//;Fortitude parcial;;TRUE;TRUE;;afinidade;afinidade
43;Flagelo de Sangue;"Você toca uma pessoa, gravando uma marca escarificada no corpo dela enquanto profere uma ordem, como “não ataque a mim ou meus aliados”, “siga-me” ou “não saia desta sala”. A cada rodada que o alvo desobedecer a ordem, a marca inflige uma dor excruciante, que causa 10d6 pontos de dano de Sangue e deixa o alvo enjoado pela rodada (Fortitude reduz o dano à metade e evita a condição). Se o alvo passar nesse teste dois turnos seguidos a marca desaparece.
*Discente (+3 PE):* muda o alvo para “1 ser (exceto criaturas de Sangue)”. Requer 3º círculo.
*Verdadeiro (+7 PE):* como Discente, e muda a duração para “1 dia”. Requer 4º círculo e afinidade.";Sangue;2;3/6/10;Padrão;Toque;;1 pessoa/1 ser (exceto criaturas de Sangue)/1 ser (exceto criaturas de Sangue);Cena//1 dia;;Fortitude parcial;10d6;TRUE;TRUE;;;3º círculo;4º círculo e afinidade
